text,target
I'm not ready to go to school yet. ,negative
No more debt for me  yeahaaa http://tinyurl.com/mqbk9s #spon,positive
hasn't updated in yonks.. ,negative
Watching Milk  I love this movie.,positive
Just bought sims 3 ,positive
as normal its raining in scotland again  u'd think it would run out or something after ah solid week but no (,negative
@eugenechua Tasmania devils and the mad cold... Not a bad start. ,positive
@gonereading Are you trying to make me even bigger-headed??? If you pick some good people to follow you soon see the benefits! ,positive
"@JayGreasley aww no! If we had 2 of ours stolen, then we'd have none  poor little blighters! Stolen by Foxy Loxy I take it?",negative
@katecasaletto oh you can't get this on your phone ,negative
Super annoyed. I wrote a blog that took me 2 hours to write. And its gone now and i didn't get to save it. ,negative
@masterluke103 haha! not a fan of the vampire teeth??? i cant talk though @slaihingpg3blog is always making fun of me ,negative
Still at work!! ,negative
YEY the weather here is finally taken a turn for the bettter!  we have had sun for the last 4 days! ....damn thats probly jinxed now :S,positive
@taraoram Great seeing you last night!!  xo,positive
"@DuckDd yup im an early bird today,its ma bday nd im happy ",positive
Having lunch at the beach with @saraheing and anna ,positive
TawnyHeathI think this is a really cool story. Im happy for him and his fam!! The article is great!  http://bit.ly/M0XJs,positive
one month ago i was the most happiest person.. n now.. ijustwannadie ,negative
Might go party 2night.. if I do I'll post the photos cause not sure what I'll wear but I'm sure it'll b poppin ,positive
g'nite tweets  heading to NC tomorrow not sure how my connectivity will be...on the berry or wifi so...keep me in your twayers :o),positive
@tsuvik absolutely. Lot more new features and looks good too. I'm lovin it ,positive
"@rachaelmayxo i know, i am sweating alive outside. ooh, yesss please!  i'm free weds afternoon, all day thurs &amp; fri. whens good for you? x",positive
"@apburnsie yes, storyline = great; visuals = great. tears all around, and laughs from kids too ",positive
@lomara So sorry to hear that Kim.  ,negative
"Its one of those drunken, hiccupy, wake up nakie alone tomorrow kinda nights. Unfortunately my friend mark is passed out in my bed. ",negative
"@NikkiPilkington I am actually just looking into wordpress, early stages of building my own, send me the brief and I can take a look. ",positive
256 comments in the moderation queue on my blog. Only one that wasn't spam ,negative
I really don't wanna go to English  bein recorded.,negative
Wants to get an &quot;I kill people&quot; tattoo behind his other ear. Its naked ,negative
"@marinadepp HELP ME, I WANT EVERYONE TO WIN THE BEST KISS   ",negative
@Quetta07 Its in their nature. They can't help it. Once you accept this their nonsense won't bother you as much. ,positive
"singing along to britney spears, but @richiejenkins isn't singing back! ",negative
"@FoodUrchin Never used to have to do this, and used to get loads of flowers and courgettes. But last 3-4 years crap. ",negative
Damn Internet doesn't work. Guess i'll have to wait til it's fixed before uploading it ,negative
Just ate dinner after watching a reply of AI... going to mass in a while ,positive
@cleartheset yea ,negative
"@AlexCleanthous i went with a number of goodies  cupcakes, lemon bars, cookies, brownies, and chocolate covered strawberries  yummm",positive
"@bob_saget Content can't be viewed outside the USA... Well that sucks for your followers from the rest of the world, including me. ",negative
"Ugh these lyrics &quot;funny the way it is whether right or wrong, a soldiers last breath and his baby's being born&quot; ",negative
such a beautiful weekend and I didn't get to ride one mile ,negative
i wish they'd release the full line up for t4 on the beach now! too impatient to wait ,negative
@Victoria_LPF  Wahahahah  don't make me jealous!,negative
....what am i doing?? what are you doing.?.ppl talk to me! ,positive
Had the worst day @ work today. A fentanyl patch was missing and now we are all prolly gonna have to drop for it...Does Vicodin count?? ,negative
"OK, AGAIN I am off until my twitter is fixed ",negative
facebook is really getting on my nerves. wont load my pages ,negative
"@ambermatson Anything for you my dear, as you know ",positive
holiday soooooooooon!   ,positive
midnight painting. ,positive
"im gnna go out  see you in an hour, or two",positive
@mileycyrus http://twitpic.com/3pf7v - Nice masks! You gals look so pretty! ,positive
'It Ain't Over 'Til It's Over'  â« http://blip.fm/~7f4b7,positive
Replaced twitterfon with tweetie on my iPhone. I like the additional features ,positive
@Lanelane12 It happens more often than not! ,negative
Just finished yet another amazing book by Susan Elizabeth Philips!!!  God I love her books so much!!! Which one to read next??? hmmm...,positive
"@a_simple_girl *takes a bow and snatches back those dollar bills* Thanks, dear.  At least SOMEONE should have fun tonight. ",positive
"@torontomike Do you like Taylor Swift? I really enjoy her singing and her writing.   But I grew up in the prairies, so I can like country.",positive
"@ABPink Would like to read that one too, Coleen was doing a book signing locally but I couldn't make it ",negative
is still feelin low ,negative
@savannamarie21 What's going on with your friends? And sorry it took me so long to comment on your new videos. I was super sick ,negative
I don't want to go! ,negative
GRAD IN 11 DAYS!  im gonna miss all my classmates soo much      :'(,negative
Just had a nice chat w/lang school owner in #secondlife. Read about him yesterday in The Language Teacher (JALT).  Interesting guy ,positive
@dionroberts AWESOME shirt!!!!     GO VOLS!,positive
@Siemny  but 100's but eh end of the week ,negative
watching southpark ,positive
@elsaelisabeth really? haha gracias  do you have it too?,positive
"Did some Summer cleaning of my computer, removed 12.5GB ",positive
"ahh, too much work!  im gonna have to skip walking home for lunch to watch cartoons  ",negative
Anybody doing history still up?! Please be ,negative
"@CaiteyBelle awwww hun, its going to be ok ",positive
@woolwytch Aaah!  She's blushing now! ,positive
Long night of partying aheadddddddddd. Love you laura ,positive
"@kof12 btw, that flash game widget you guys have now....AWESOME ",positive
going to Chipotle for lunch with my honey ,positive
@nisti2 The Angels Wear &quot;Airwalk&quot; ,positive
"@hellonhairylegs Trueblood and Dexter should be back within weeks! Best. Shows. Ok, maybe not Ever but Currently at any rate. ",positive
going to sleep now! goodnight! ,positive
I gotta be great! I have to! Everyday is a lessons to me.. ,positive
@michaelpokocky Hey Michael! Long time no tweet! Just poppin' in to say hello! ,positive
Also doesn't help that it is an absolutely gorgeous Boston day (mid 70s) AND @stacey_a_allen invited me to her sister's grad party. ,negative
Amazing person and a leader Now its time to say a big thank you Dial my number any time as You will always have me as a friend ,positive
"Thanks for making me feel so loved today, friendlies ",positive
@pragyavats surviving...just about ,positive
@DrDanN mmmmm what u make? I'm hungry ,negative
rs getting ready for State of Origin time ,positive
@Karen230683 lol i can never sleep this late...not even when hungover!! Monday was the first morn i stayed up in bed for a bit in ages! ,positive
"reading burning sun, again. this is the best fanfic ever! i wish i could find Fire, here on twitter ",negative
@heyybrittni well congrats! &amp; hopefully it will go fast. waiting is a pain ,negative
@BeckyKingston Don't blame you ,positive
"Good morning twitter... HPE prack today, then 2 hours till my other class  its going to be a boring wait...",negative
"@mytinkerbella it was at WalMart, quite randomly! and pretty cheep too, so we decided to give it a go ",positive
@HaleyBangs YEEEES   but i'm in school ,negative
Troubles with internet ,negative
Walmart with @thebahtawrence...cereal and salad. ,positive
@Vixenita I want a present in the mail  Even if it's just a gay card with a big &lt;3 written on it it would make my life ,positive
But can't find my remote ,negative
"Need to get to bed, school in the morning, but cant sleep!!!   aaaaahhhhhh",negative
Last day of school.... I'm gonna miss everybody ,negative
"The new word is &quot;demonish&quot;... Thanks, Chelsea!! ",positive
I wish my house didn't look so much like a friggin cruise ship ,negative
@eastyyy wow congrats! ,positive
"@JakeCanuso some1s a happy boy this morning  what u going to switzerland for?lucky boy! can i come?we could get drunk,plan!!!haha.",positive
soo full...plane for home leaves tomorrow ,negative
@nicole_rae heheh just let me know!  ,positive
@LeafHky THX so much! ,positive
Gave up on Monty Python.. Got a bit annoyed after a while. Watching the 6th episode of Parks &amp; Recreation instead ,positive
"@davenavarro6767 Cool interview w/ Dono, talks about your philosophy on life round 6:45 in    http://bit.ly/Q9NIM (Happy Bday again!)",positive
Gmail is Down! I'm screwed. I need to download something before a meeting ,negative
work start ,negative
@allisonthemeep Buy them?!?!? Do u have gmail? I'll send u a playlist for free baby!!! ,positive
"@nickposkitt The best combination is for your Sunday morning hangover - a fry up and the Andrew Marr show.  Enjoy your weekend, chick.",positive
"Working hard on a beautiful day!! Yeaaaah!!  in St. Francis, WI http://loopt.us/vV5jZw.t",positive
@chelsealinn just be grateful you didnt have a song as the ring tone  ;),positive
Just got three text that i was no tv ,positive
"is pretty content with life. New job, new friends, new outlook on life ",positive
grocery shopping - damn my life is exciting ,positive
How I wish I can take my Os next year! I'm totally unprepared. ,negative
Planning a Babyshower ,positive
@jason_mraz i love the fact that people are essentially good  or i may be wrong haha,positive
Hm... I just went on my Home on MySpace&amp;saw my default... I'm pretty cute. ,positive
is finally allowed to go out ,positive
@isabelhelen Have you started watching BSG yet? And yes I'll annoy you until you do  xoxo,positive
"@shortyyyy ahhh AFI at edgefest ! me and my friend wanted to go to that  how fucking good tho, i miss them so muchhhh! =[",negative
No new shoes for me ,negative
X-Men Origins: Wolverine is AMAZING!!! I just want to go watch it again!!! Ryan Reynolds is awesome in it! I love him ,positive
@melindi long time so see! lol first tweet I see are about &quot;shitty&quot; drivers lol hope ur enjoying the sun ,positive
Finally getting around to watching the season premiere of True Blood. Not having HBO sucks. Thank God for the internet.  #TrueBlood,positive
"Heeeey! Follow Pease @jonasbro_fan please ,,please.!!!! ",positive
eating little mexico with mi mami!! ,positive
"I can feel this is a good day  (well at least the weather is nice, that's a good start!)",positive
will be torn for years to come with David Letterman &amp; Conan on at the same time. ,negative
Minigolfing with my man ,positive
@caseysevenfold oh ok   come 2 the venue early? ,positive
@tommcfly apparently he might be canceling all shows due to his skin cancer ,negative
"Why is comfort food always bad for my health? Had the avocado bacon cheeseburger anyway, to help concentration. ",positive
I'm up.  That was the longest nap ever. ,positive
I have so much ish to do today ,negative
@NicolePaulino no jonas adventures now   im actually in this competition in my school if u win u get 2grand so i can go to a JB concert!,negative
@pinot so no games n movies for today...she gave up  Why these school things are so stressing me? It's supposed to be fun right?,negative
it's raining today ,negative
still not home yet ,negative
@tommcfly number four in OMAN! we matter too ,positive
sent out sum mtng notes 2 Bob Evans/Dayton Dragons Taste Team! Keep June 18 &amp; July 20th free in ur planner 2 come join! more details l8r ,positive
Just ran.  still sore from yesterday.   ahh well haha,negative
"Friday Night Magic last night, I lost so bad  I suck at draft",negative
My dog is definitely cuter than yours. ,positive
You're such a shit muffin  muahaha.,positive
"@Yiao ah, that's why i can't find it  re: link to toys template",positive
capeeeeeeeeeee ,negative
"@foxy_james ohhhh hope you've got a good plan for the stuuupid faker, neeeeds to be sorted ",positive
"i'm so into his song, &quot;heartless&quot;. simple but cute. ",positive
listening to fly with me  by @jonasbrothers duuuhhhh  i love it:K,positive
is fed up of all these forms n feels exhausted with life.. ,negative
@adampatterson Would you recommend United? ,positive
Lunch is over....drat  So hot..think walking home might casue some probs if it doesn't cool a little!,negative
i think my blood must taste really good; i have soo many mosquito bites. ,negative
@DonnieWahlberg: What happened to the Asian love on the unofficial video? I guess mine didn't make the cut. ,negative
@f0rkins0cket Okie dokie. Sounds good. I need to fricken find my yearbook. That means someone stole mine or someone has two. ,negative
I hate having a dream about work and then having to wake up and go to work ,negative
@OUBad @Mel30Rock Gives him less time to sweat it   It's been ON the calendar BIG BLACK LETTERS for 2 months!,positive
My foot hurts ,negative
@islandiva147 I sent u a tweet yesterday but I don't know why it didn't work  I guess you're sleeping right now I am working soon noon !!!,negative
@LTLline its ok there will always be another game!  smile!,positive
"The Sun Is Coming Out Know, Hooooorayyyyy ",positive
@xelaxexi workshop internal kantor  Living close by does not always guarantee you reaching your office on time. Memory does ,positive
@lalamana @souljaboytellem maybe coz of hight hill. Tc ,positive
"@Schofe yes what a shame, Sutil is usually good in the wet ",negative
my camera died i'm so upset ,negative
had an amazing weekend w/ my Kenny and friends. more to come tonight! ,positive
waiting on the rain to stop. ,negative
gettin my sunday on  layin out with the froomate!,positive
"@rachaeldunlop nice smile there @rachaeldunlop, I can almost hear you laughing! ",positive
@stream4341 HAHAHAHAH what la you!!! @JasonLim tak layan me pun ,negative
"at work, where that yellow globe in the sky go ",negative
"Longest hangover on the longest, sunniest day of the year. Fantastic. ",negative
its raining!!  im happy,positive
@millsustwo yes mate I was just watching that ha ha! GOOD VIBES! Loved the idea of strapping the phone to his mouth ,positive
Hanging out with christian and oliver ,positive
@puffy133 haha that was adorable! made me smile ,positive
 MIA my sinful hat.,negative
"@mishacollins hey misha!!! I think that you're awesome!!! I like to read some of your work  and... take care, have a funny friday ?",positive
"@dinnerlove so am i, and i dont know how to stop it... its been the WORST food too ",negative
#IranElection Voice from Iran: Shame on a country in which foreign embassies are safer than hospitals ,negative
9:35 am: FREEEEEEEEEEDOOOOOOOOM!    just got home from mangdu with @della 24o8 and @alviealvie. bought new dresses and skirt!,positive
"what a poopy day  ohhh well, ill be stuck at work anywayyyy",negative
@Senfaye still- any illness isnt fun. lol trust me  i just got over having mono ,negative
going outt for supper tn(:    Happy Mothers Dayy ,positive
have some good blisters in my feet from last night  but worth the awesome night out with tha girls!!,negative
@quii  Jealous Java programmer -&gt; @HeyChinaski,negative
Just woke up. Gonna be drinking from 2 o'clock today! PRODIGY TONIGHT OMGZORZROFLMAOMGLOL          ,positive
My back hurts   geez.,negative
@hayduchovny thanks  ill try and get that done for ya tonight .,positive
Goodnight.      i love sleeping cuz of the amazing dreams ,positive
Lack of telly is super gay  might put the iplayer on to get some background tv noise!,negative
@quesoqueen Sometimes you gotta do what's right for you and say fuck it to the man and all that he represents!  LET'S GO!!!  ,positive
blu is a little bit buggy but still really fun to use ,positive
"feeling ill!!! need an INSTANT cure, birthday on MONDAY! any recommendations? ",negative
realizing that my baby and i are thinking about eachother at the same time! wow ,positive
"my face is swollen.. and my throat hurts soo much..  I wanna go hom.. well, I acutually do in one hour.. yay",negative
At plaza with the fam ,positive
@brandamc mmm chocolate!!! damn even when im sick i still wanna eat it   I think i should try n go back to sleep for awhile..lol,negative
@jab_baller now those are rowdy fans.. ,positive
"My favorite asian, @AsianDavid, is now on Twitter. ",positive
"hayfever!!   red, itchy eyes! BAD TIMES!",negative
@tinkcupcake oh bb prob the anger build up manifesting  relax and have a nice cuppa. &lt;3,negative
"@hollywoodkarkar it's goin ok, just real stiff cause alot of scar tissue ",negative
"Ugh, why can't I learn any more freakin chords!?!? It's like the last time I learned a new one was nearly 10 years ago! I fail at guitar ",negative
listening some music ,positive
"@avadri sorry I didn't answer, I wasn't online at all over the weekend ",negative
can't believe @meemsta got rid of her constellations. hopefully she won't forget/get rid of the little people when she gets famous  ,negative
"It's called communifuckingcation.....learn it, know it, do it. These stupid ass people! ",negative
"@bloodybunny00 not then we can meet half way  omg,  yes, soooo much to watch and discuss ",positive
Painting Tomorrow / Monday afternoon at the RED BULL SPACE:  Swing by 5pm. ,positive
@la_ri_sah tell them I said hi. ,positive
@azdaniels actually I just threw it out there as a lark.  But you're right. It shouldn't take that. *sigh*,positive
@souljaboytellem I Like that . . .i Like that Alot ,positive
@weisslu well if you are ever bored.... I'd give it a go! ,positive
grrrrrrr I can't open my emails ,negative
"@qutequte you can add wings onto pics?  Cool!  Thanks.  I'm off to bed.  TTYS! Oh, let me know what you think of me Up review. Be honest! ",positive
but worried at the same time for the real prob tomarrow.. hope mam nora would not be mad on us.. huhu ,negative
"@AlohaArleen happy is good! I love to state the obvious =P. Too many grumps in the world... Sadly, many of them have discovered twitter ",positive
"@mattpro13 so basically I love you &amp; when someone tells you they love you, it's polite to say it back  &lt;3",positive
@julianzito sharing is caring ,positive
"@ImagineUs @CocosButter Thanks, yall are sweet. ",positive
 I keep thinking a freckle on my arm is a bug and I almost keep hitting myself,negative
ready to toke. ,positive
@kev_mck Commercials are tweet time when you're watching TV in real-time ,positive
"Hanging with my man, watching 30 Rock a bit before he turns in  in Corona, CA http://loopt.us/z4ImPg.t",positive
"If your getting this text, your famous! Yes, your on youtube! Check it out! Youtube.com/devol4.. The vid is called Merry Mesa Verde 2009 ",positive
"Forgot it's National Running day and ran INSIDE.  I'm scared to do outdoor runs lately because of my stomach.  4.47mi, 36min + 4 cooldown",negative
she hates me ,negative
http://twitpic.com/6g8rg - I don't remember who made this but I love it so much I have to post it and share ,positive
"French final done , ready for summer  ",positive
is very happy that this craptastic week has finally come to a close. ,positive
out to breakfast and then to St. Augustine!! YAY!! I love vacation!! ,positive
Yesterday was the first cottonwood flurry of the year. Will be living on Claritin for the next month. Glorious. ,negative
@daveknox awesome-  corporate housing took away my modem and gave me an air card for the summer..  = no xbox live. ,negative
Off to work soon. ,negative
@AMLadlad Thank you! ,positive
"Tip for everyone, don't read whilst in the car! i felt soooo sick after reading! not good ",negative
@Houstonblogger but you're the bestestest  i'm sure it'll be ok!!!,positive
@natalievass It's soo hot here. Loving it. ,positive
@imeldalaura it's a woodchipper &amp; it's gonna top off the weekend just nicely ,positive
 say some tehilim.,negative
@mroyall never leave your office unattended at lunch time! ,positive
feel like absoloute poopy today! wanna go for a walk but dont know if ash will have time! ,negative
@Imagin_that  What amazed you? Life almost never amazes me.  Kinda bummed out--found out I have to do some work event  I hate in 2 wks ,negative
@centeruniverse realizing why I haven't been seeing all of your replies--you're missing a t in my name :-D sorry about the headache! ,negative
I want to watch Camp Rock for the 3rd time today!  no one will let me,negative
@saketome http://twitpic.com/5ofpw - awwwwww too cute! makes me miss my westie back home in NZ ,negative
Living my life ,positive
Just got hit by a car! ,negative
@illek Oh! Then I guess my good wishes might have come a little early this morning. ,positive
home from a great wedding with a very happy couple ,positive
@martinboz  didn't know you were watching the new Dr. Who - I like the show (and the  Dr.) too!,positive
summmer starts now .. tonight hmm too many options ,negative
"Out of juice, I guess no more Svedka then ",negative
ignore all your messages ,negative
Daft punk can cheer up any situation ,positive
thinking about some stuffs.... NO? Yes? ,positive
Another wonderful day at work. I need a new job. I'll take anything. ,positive
@DonnieWahlberg hope ya hit the Waffle House up in VA Beach too!  ,positive
Feathers away in bournemouth all week... Miss him terribly ,negative
Going to m.boro  1st MTSU Sidelines meeting tonight!,positive
A song has just made me cry ,negative
"Oh please, don't go changing  I want you so much!",negative
Globe charges Php2.50/Tweet. tooo bad. ,negative
So upset that spring break is like over ,negative
"just got out of bed hanging out my puppy and talking to Eric, who has sinus infection ",negative
Where is Stanford U CS193P Lecture 5? It's already Monday leh... ,negative
Ok seriously I need a new agent.  Watch this space tweeps im goin2 the top!,negative
"@bunnydozer i want a cupcake, all i have is knit ones ",negative
"Enjoyed his first day back at work, is now tired  -  shame I have to back tomorrow  ",negative
@MomaMiaCL welcome moma to Twitter! ,positive
My throat hurts and we still got 4 days left ,negative
Bubble bath! Yay. Just what i need ,positive
@rsuenaga i can't go to honpa  i think....,negative
"at this second, I hate school. It's taking over my life. No dreaming about Eddie Redmayne for me ",negative
@bexxly I JUST SMOKED A WHOLE BUNCH OF CRACK  #familyguy,positive
"@ChelseaGA Oh aye, i mind you saying now ",negative
im so tired but i really dont want to go to bed coz tomorro night i have to go back to school &amp; i dont think i go on leave till holidays ,negative
#haveyouever told your friend to get you food b/c u didn't want to look fat? teehee ,positive
Wow. More than 5.000 Followers! Thank you very much to ALL of you! Vielen Dank an euch ALLE! ,positive
@Charlie_Raleigh Sorry Charlie  Hopefully you can make it next week!,positive
"@DawnRochelle1 so thats where my chacos are! lol tks -- see you not this sunday, but next sunday ",positive
Gonna watch some TV - I'm out maynee ,positive
boys are so Damn stupid ,negative
Hey @otepofficial I can't hear anything   (otep-official live &gt; http://ustre.am/CyJ),negative
"I never want to fall asleep, i had a bad dream last night ",negative
Thank you very much everybody for the kind comments about my design work - I'm flattered. ,positive
@RiesOuwerkerk thank you for joining http://twittermarketerpro.com ,positive
"@iamdiddy my hubby.  promised job promotion so we didn't move, signed a new lease n they withdrew the promotion...  ",negative
@Ben_Stephenson lol seen a dose of ben on the beach photos on face book but couldn't comment ,negative
Going to kate's with the girls. Her bday tomorrow ,positive
HAPPY MOTHERS DAY ,positive
"thanks for a great Saturday! hope you all enjoy the beautiful afternoon! and for those who are going to Coldplay, enjoy it, I'm jealous! ",positive
On my way to NYC for AIDS Walk New York. Glad to have the support of @MissNaD. Smooth sailing thus far. Despite the pending rain! ,positive
"@ShanteCurtis lol yes it is 1pm, i'm walking to THE company right now ",negative
@b4dm1n7on I heard that you can't make it!! ,negative
@esmeeworld Good luck tonight! have fun ,positive
@Omniscientia Someone else doing the clean up is always a good thing.  Thankfully we were guests at both parties. So no clean up for me ,positive
@leeteuk he must be sleep like a log..let him sleep..u guys must work very hard..!!!..fighting..!!! ,positive
is stuck at work on what looks like being another gorgeous day ,negative
only 15 mins to go thank heavens - it really has been one of those days where I think i have been going backwards ,negative
"Been working hard. London had glorious weather, came back to Kent and it was raining ",negative
"see demo about Photoshop.com and iPhone, I don't have iPhone ",negative
@halyung   How sweet!  However....the sleep angels seemed to have been distracted on their way...I just woke up and cant fall back asleep!,positive
Is Discouraged. Thanks @Scottycurf . I'm gonna work at @Rue21 for the rest of my life. Dreams.. Crushhed. I Need 2 Stop sucking @ Life ,negative
Tried to watch &quot;Tibet: Cry of the Snow Lion&quot; during breakfast. Too sad ,negative
The shitty part about riding the train is no radio...I feel naked   @Patrobitaille on my ipod oooohhh just shuffled over to Hayden.,negative
i hate saying goodbyes   ,negative
My neck is so sore from sleeping on the couch. ,negative
"is so pumped, 30 minutes left at work, and Captain Americas tonight ",positive
"Playing with a DLink DWA-130 USB WiFi adapter on my MacPro. Works, but drivers panic at shutdown. ",negative
@musecrossing I am selling my 17&quot; Macbook Pro for $1200 ,positive
Feel hurt. in car. gonna watch a funny movie. someone talk ,negative
@sarahcourtneyb i wish i did! ive been on the road ,negative
just got back from the E.R..i just had an epiphany!!! no more hot cheetos.. ,negative
@deekhoo welcome to version 2 of yourself ,positive
Snuggling up with my angel darling baby ,positive
@serenajwilliams hey serena. hows paris? i dream of going one day... been shopping lately? ,positive
Go Leo! $10M in my bank account and I'd be gapping it too. Mind you I spose the rest of us will pay for Westpacs stuff up in our fees ,negative
@ksmith2009 Awww ,negative
Is so not looking to thursday at all. ,negative
Returning from Special Assignment. No cell for a week sucked alot ,negative
"Ok, to all who have EVER @Erelas, I am SO sorry, something is &quot;fuzzy&quot; with my Twitter, just saw a bunch of replies I never saw before ",negative
i miss you too jo and hate the sound of 90 ,negative
"Police ~ to Protect &amp; Serve, or history takers and CSI's, #Choice #HOA  help #InsideEdition",positive
@ollie_francis Thank you again! ,positive
what's for dinner??? ,positive
last night having Claire around  and really hoping her time in the US will be quite simply amazing! ,negative
"I want to see it again, but with chocolate and maybe popcorn! ",positive
Got to learn for two exams this weekend. English + math.  But looking forward to the WWDC Keynote on Monday.,negative
"@landrew Hehe, thanks   Was going for the incendiary headline this time ",positive
@ruttski oh okay  will we be able to save our replays to hdd @ fifa10? i dont think its that hard. nhl09 and pes2009 can do that also ...,negative
"@JLSOfficial am well gutted!! i need2 meet you soon im literally dying, cant face food. ma mums goin nuts at me  reaally upset!",negative
tomorrow is the beginning of a new module. TMK. hope it'll be easier than MKK. ,positive
@tjinkerson (oops) We have a pile of ironing that needs doing here if you want to pop round ? ,positive
"@itsjamieeexo ps, I FINALLY MADE IT OVER THE 1000'S ON HERE HAHAHA ",positive
"Just watched Gossip Girl, that episode was gr8! Can't wait for the next one (: But I have to wait like..A FREAKING WEEK!  Nooo..",negative
Getting started packing again... not looking forward to this one. ,negative
does not appreciate having a stalker....It's scary ,negative
Im still not sure how all this works!  ,negative
"in buisness! so excited to get my new phone  and looking foward to this weekend, having a sleepover with my best friend ",positive
off to target then church! ,positive
Pretty nifty way to work on a PC from a Mac http://www.gotomypc.com only problem is there is no cut and paste ,negative
omg what had happnd to you ,negative
@chloethelwell ahhh i know how you feel bbz! awesomee  nopes i havnt saw the second one neither want to tho  xxxxxxxxxx,positive
hopes the weekend will be better than this week! ,negative
@King_In_Chains and also 4rm a sideways point of view i capture beauty ,positive
@TawnyHeath im sorry to hear that ,negative
"@johannadc Oh! Actually she was looking for it as something for me to review for Manga Recon. But yes, ultimately it was to go to me. ",positive
2 meaty curries done dahl well on the way - veggie stuff next - my whole body will reek of garlic &amp; Ginger for a week now ,positive
hate that i didn't watch the weather 4 2day. Was nice this am so i got my car washed &amp; now its bout 2 rain ,negative
How can someone be so cruel?? I dont understand ,negative
sun is out again today  but can't wear pink 2 days in a row ;-) so what shall i go for ? some spring green maybe ?,positive
@chris2lockwood I miss you  xxx,negative
@mjh81 no diversity!  why are you watching the chubby one anyway!? The kids are so good!,positive
@BuellaMarie too cute! I'm resting with one of my dogs  How are you doing? Having better days?,positive
Ahhh woke up so early ,negative
"Good Job Manny Pacquiao!!!!  you're the best, ya know?",positive
"@crichalchemist lol-see, you need to get on the KanYe work out plan TOO -well, minus the &quot;give head/stop, breathe/get up/check ya weave/&quot; ",positive
is needing to clean his room...but not really wanting to...i'm so lazy! ,positive
@ShanaeRawlings joking :p. AND don't forget its freaking cold and put a jumper on and im wearing shorts for some reason ,positive
"@molls @couchpundit Played Get Me Bodied, but not the extended version so I didn't get to &quot;drop down low and sweep the floor with it.&quot;  ",negative
the thoughts in my head make me a sad person ,negative
"Not sure why I'm awake right now, it's too early. Oh wait my friends in the other room are early risers, why didn't anyone tell me this? ",negative
cand vroiam sa ies si eu cu bicicleta a inceput sa ploua... ,negative
@Alexis_King  Ok good!!! Cause i wore it all day ,positive
"Okay, mowing the lawn is officially LAME! It makes little pieces fly up and stab your legs! ",negative
"@IntriguingDs Morning, Rena! Thanks for that great quote ",positive
Goooooooodnaaaaayt sa lahat  http://plurk.com/p/11e8g0,positive
"@RyanSeacrest Hey, still the wrong one ",negative
"@taylorswift13 hey! i just wanna tell you that i love your music! i don't know you, but i think you're the coolest person ever! ",positive
@fingersandtoes I'd love to but will be at work ,negative
Goodnight people! ,positive
"after a wonderful evening, i think it's time for bed early? who am I kidding! Pass the bottle ",positive
Landed home from my hols. The usual delays with flights but bags out fast. Back to work Monday ,negative
"VMA's today?? why yes, yes i shall ",positive
oh damn i wanna go to seatle...or sacramento...or atlanta again..oorrr i don't know just wanne be in the states again ,negative
@DawnRichard please come to amsterdam... i'll take you and que around  we'll have a great time! ,positive
@Cshifty I want to go ,negative
@officialmgnfox awww... what a wee shame ,negative
@lindasmith247 Will take a look ,positive
@SlantedSmiley fine its OURS ,positive
Out of school. I'm going to miss everyone so much!  &lt;3,negative
@EnidanEkieh I'm sorry it is .net instead of .com ,positive
"Oh yeah, today is E3, lots of exciting news regarding Xbox 360 today. I think Nintendo is tomorrow ",positive
New fave..bad girlfriend theory of a dead man..ck it out ,positive
Lovely morning for a run - NOT - it's absolutely lashing it down ,negative
i feel like i'm still in 7th grade. i hate this leveling up thang. if only we can just fail schoool &amp; stay 7thgrade forevahhhhh ,negative
my internet service blows bad ,negative
if @Maan1981 is trying to dump his #LEGO bricks in my yard why wouldn't he just give all his #LEGO to me!!! I'll be rich by then. ,positive
dc for the day. ,positive
OMGGGG this is such a sad video: http://bit.ly/uK582  don't watch if you're a sap like me ,negative
@SamFrench_25_32 The car on my background under Dude is really mine. The glasstop Mustang is on my wishlist. ,positive
Todays match was pathetic. We need 3 runs / 9 overs &amp; I got out LBW (last wk). I brought the team close to victory but failed 2 finish it ,negative
@kylegwhite you go when I'm not working!!!! ,negative
Just chillin in mandarah. Went shopin and got JBs burnin up book yesterday. Its awesome ,positive
@firstladyd hey girl .... keep me posted on the akon shizzznazzz ,positive
I don't feed into bullshit.... Sorry  awwwwww what a cock succer !!!!!!!,negative
"Omg. Three completes, two stops so far. Its only 8.     stop talking to me people lol i need to catch my breath.",negative
"@dickmorris...Dick, I love your commentary, and Fleeced is awesome...thank you! ",positive
Waiting for Game 2 To Start! GO LAKERS ,positive
Damn no one? Das messed up. Ppl only watch out for theirselves these days ,negative
"WOW, scusi mucho...where in the hell did all this come from? Guess I could delete, delete, delete but what for? Who reads this anyway ",positive
 fuck you 2009...,negative
@billso What about Mike Brown?  #Cavaliers #Magic #NBA,positive
"@TheHours Yep, and I was really looking forward to it but now don't think I can go ",negative
"too tired, i canï¿½t stay awake..but i must finish work for sunday ",negative
Finally! Timbaland is back to work with Missy and Ginuwine! Only one missing? Aaliyah  http://bit.ly/1adspd,negative
OH help me please to get rid of these security warning from my upgraded explore 8...I new I shouldn't have done it ,negative
Heartburn...? WTF!?! i cant win ,negative
